date,category,product,units
2023-01-02,Electronics,EL-Headphones,526
2023-01-09,Electronics,EL-Headphones,549
2023-01-16,Electronics,EL-Headphones,467
2023-01-23,Electronics,EL-Headphones,463
2023-01-30,Electronics,EL-Headphones,510
2023-02-06,Electronics,EL-Headphones,560
2023-02-13,Electronics,EL-Headphones,505
2023-02-20,Electronics,EL-Headphones,440
2023-02-27,Electronics,EL-Headphones,450
2023-03-06,Electronics,EL-Headphones,471
2023-03-13,Electronics,EL-Headphones,501
2023-03-20,Electronics,EL-Headphones,458
2023-03-27,Electronics,EL-Headphones,438
2023-04-03,Electronics,EL-Headphones,434
2023-04-10,Electronics,EL-Headphones,439
2023-04-17,Electronics,EL-Headphones,400
2023-04-24,Electronics,EL-Headphones,417
2023-05-01,Electronics,EL-Headphones,417
2023-05-08,Electronics,EL-Headphones,452
2023-05-15,Electronics,EL-Headphones,392
2023-05-22,Electronics,EL-Headphones,416
2023-05-29,Electronics,EL-Headphones,350
2023-06-05,Electronics,EL-Headphones,401
2023-06-12,Electronics,EL-Headphones,376
2023-06-19,Electronics,EL-Headphones,353
2023-06-26,Electronics,EL-Headphones,365
2023-07-03,Electronics,EL-Headphones,391
2023-07-10,Electronics,EL-Headphones,356
2023-07-17,Electronics,EL-Headphones,396
2023-07-24,Electronics,EL-Headphones,413
2023-07-31,Electronics,EL-Headphones,420
2023-08-07,Electronics,EL-Headphones,425
2023-08-14,Electronics,EL-Headphones,345
2023-08-21,Electronics,EL-Headphones,401
2023-08-28,Electronics,EL-Headphones,377
2023-09-04,Electronics,EL-Headphones,436
2023-09-11,Electronics,EL-Headphones,418
2023-09-18,Electronics,EL-Headphones,433
2023-09-25,Electronics,EL-Headphones,452
2023-10-02,Electronics,EL-Headphones,426
2023-10-09,Electronics,EL-Headphones,461
2023-10-16,Electronics,EL-Headphones,442
2023-10-23,Electronics,EL-Headphones,557
2023-10-30,Electronics,EL-Headphones,472
2023-11-06,Electronics,EL-Headphones,500
2023-11-13,Electronics,EL-Headphones,439
2023-11-20,Electronics,EL-Headphones,458
2023-11-27,Electronics,EL-Headphones,492
2023-12-04,Electronics,EL-Headphones,567
2023-12-11,Electronics,EL-Headphones,572
2023-12-18,Electronics,EL-Headphones,557
2023-12-25,Electronics,EL-Headphones,521
2024-01-01,Electronics,EL-Headphones,632
2024-01-08,Electronics,EL-Headphones,509
2024-01-15,Electronics,EL-Headphones,517
2024-01-22,Electronics,EL-Headphones,574
2024-01-29,Electronics,EL-Headphones,508
2024-02-05,Electronics,EL-Headphones,559
2024-02-12,Electronics,EL-Headphones,585
2024-02-19,Electronics,EL-Headphones,535
2024-02-26,Electronics,EL-Headphones,549
2024-03-04,Electronics,EL-Headphones,527
2024-03-11,Electronics,EL-Headphones,490
2024-03-18,Electronics,EL-Headphones,382
2024-03-25,Electronics,EL-Headphones,452
2024-04-01,Electronics,EL-Headphones,490
2024-04-08,Electronics,EL-Headphones,419
2024-04-15,Electronics,EL-Headphones,450
2024-04-22,Electronics,EL-Headphones,469
2024-04-29,Electronics,EL-Headphones,500
2024-05-06,Electronics,EL-Headphones,396
2024-05-13,Electronics,EL-Headphones,418
2024-05-20,Electronics,EL-Headphones,436
2024-05-27,Electronics,EL-Headphones,439
